TOS_REF[h],X_CH4_REF [%],X_CO2_REF [%],,TOS_1Mn [h],X_CH4_1Mn [%],X_CO2_1Mn [%],,TOS_0.5Mn [h],X_CH4_0.5Mn [%],X_CO2_0.5Mn [%],,TOS_0.25Mn [h],X_CH4_0.25Mn [%],X_CO2_0.25 Mn [%],,TOS_1Cr [h],X_CH4_1Cr [%],X_CO2_1Cr [%],,TOS-0.5Cr [h],X_CH4_0.5Cr [%],X_CO2_0.5Cr [%],,TOS_0.25Cr [h],X_CH4_0.25Cr [%],X_CO2_0.25Cr [%],,TOS_1Fe [h],X_CH4_1Fe [%],X_CO2_1Fe [%],,TOS_0.5Fe [h],X_CH4_0.5Fe [%],X_CO2_0.5Fe [%],,TOS_0.25Fe [h],X_CH4_0.25Fe [%],X_CO2_0.25Fe [%]
0.08333,41.2781,53.47585,,0.08333,39.67366,51.45503,,0.08333,42.62408,53.85703,,0.08333,41.51697,52.58164,,0.08333,43.33453,55.21896,,0.08333,44.65744,56.74793,,0.08333,44.28792,55.11729,,0.08333,21.36501,33.75787,,0.08333,39.47915,52.1622,,0.08333,42.4674,55.25735
0.22472,40.29918,52.13512,,0.225,39.56062,51.36418,,0.22472,42.44022,53.78789,,0.22528,41.01879,52.03539,,0.225,42.33294,54.82522,,0.225,43.697,56.4095,,0.225,43.38129,55.02463,,0.225,24.17078,36.92795,,0.22472,40.21833,53.09274,,0.22472,43.02061,55.63004
0.36667,39.20438,51.03392,,0.36667,39.45518,51.37313,,0.36667,42.19948,53.55483,,0.36639,40.73071,51.33808,,0.36639,42.6189,54.30079,,0.36667,43.76282,55.81099,,0.36639,43.20016,54.64984,,0.36694,25.13574,38.35749,,0.36639,40.77936,53.47485,,0.36639,43.21194,55.41589
0.50806,38.43995,50.06003,,0.50806,39.08792,50.89846,,0.50833,41.82909,53.29275,,0.50806,39.91207,51.27628,,0.50806,42.00216,53.66405,,0.50833,42.95292,55.04298,,0.50806,42.92145,54.19542,,0.50833,25.87952,39.00407,,0.50806,40.94427,53.59586,,0.50806,43.11581,55.48004
0.64972,36.70902,48.50942,,0.64972,38.78365,50.59062,,0.64972,41.23681,52.59984,,0.64972,39.78567,50.78409,,0.64972,41.73966,53.28906,,0.65,42.4822,54.55941,,0.64972,42.17462,53.34442,,0.65028,26.718,39.9774,,0.65,41.08949,53.45794,,0.64944,43.11176,55.31953
0.79139,35.9456,47.75898,,0.79139,38.78786,50.49918,,0.79139,40.96594,52.3895,,0.79111,39.29105,50.43236,,0.79139,41.64152,53.11387,,0.79167,42.18912,54.40195,,0.79167,41.87612,53.04686,,0.79167,27.50929,40.86537,,0.79139,41.04322,53.70868,,0.79111,43.03026,55.39153
0.93333,35.42601,47.07281,,0.93306,38.64638,50.45871,,0.93278,40.83832,52.12566,,0.93278,38.77377,50.15926,,0.93306,41.24141,52.9905,,0.93333,41.60104,53.96466,,0.93306,41.51225,52.73524,,0.93306,28.5194,41.8599,,0.93306,41.06563,53.66844,,0.93306,43.06768,55.18904
1.07472,34.67051,46.21313,,1.07444,38.61967,50.22741,,1.07444,40.68885,52.09642,,1.07444,38.74492,49.76037,,1.07472,41.17394,52.82393,,1.07444,41.61552,53.57257,,1.07472,41.04351,52.30526,,1.075,28.69734,42.15824,,1.07472,41.22732,53.77618,,1.07472,42.82641,55.20097
1.21639,34.02727,45.65794,,1.21611,38.14508,50.01036,,1.21583,40.55206,51.95895,,1.21639,38.48682,49.59671,,1.21639,40.90023,52.60848,,1.21611,40.58572,53.39423,,1.21639,40.90419,52.0902,,1.21639,28.73382,42.02593,,1.21611,41.25943,53.68777,,1.21611,42.5288,54.99436
1.35806,33.55408,45.03147,,1.35806,38.03473,49.78917,,1.3575,40.22761,51.57655,,1.35806,37.78998,48.6717,,1.35806,40.74215,52.53662,,1.35778,40.95297,53.11363,,1.35806,40.74423,51.94752,,1.35833,28.9227,42.24855,,1.35778,41.08165,53.74703,,1.35778,42.47506,54.79512
1.49917,33.1598,44.71624,,1.49944,37.85035,49.64249,,1.49917,40.06678,51.33049,,1.49972,37.39283,48.4971,,1.49944,40.54558,52.36251,,1.49944,40.7029,52.90313,,1.49972,40.50932,51.5169,,1.49972,29.13055,42.33387,,1.49972,41.08937,53.82378,,1.49972,42.55651,54.7224
1.64083,32.70033,44.31259,,1.64139,37.9884,49.59753,,1.64083,39.93661,51.04973,,1.64139,37.53451,48.34159,,1.64111,40.44061,52.19426,,1.64083,40.07306,52.84334,,1.64139,39.99434,51.14206,,1.64083,29.27665,42.26669,,1.64139,41.13849,53.55663,,1.64139,42.42681,54.80337
1.7825,32.18984,43.46108,,1.7825,37.80058,49.41706,,1.78222,39.71936,51.15994,,1.78278,37.03612,47.96515,,1.7825,40.22965,51.9629,,1.7825,40.53012,52.42135,,1.78278,39.77173,50.9683,,1.7825,29.45528,42.52065,,1.78278,41.15338,53.86085,,1.78278,42.35116,54.59494
1.92417,31.77549,43.18119,,1.92417,37.593,49.44093,,1.92389,39.68784,51.219,,1.92417,36.86794,47.97109,,1.92417,40.03573,51.93123,,1.92444,40.20118,52.28229,,1.92444,39.6415,50.84018,,1.92444,29.47007,42.566,,1.92444,41.10911,53.66331,,1.92417,42.28197,54.70007
2.06556,31.48783,42.95065,,2.06611,37.36064,49.37271,,2.06583,39.5822,51.06649,,2.06583,36.6833,47.79591,,2.06583,39.71777,51.44684,,2.06583,40.09587,52.16209,,2.06611,39.45425,50.76646,,2.06611,29.19623,43.27814,,2.06611,41.07963,53.57032,,2.06583,42.24106,54.4031
2.2075,31.18436,42.6059,,2.20778,37.2131,49.09945,,2.20722,39.46088,51.1164,,2.2075,36.72808,47.54161,,2.20778,39.13861,51.29783,,2.2075,39.58312,52.11557,,2.2075,39.23953,50.53329,,2.2075,29.56211,43.04509,,2.20778,41.15257,53.73782,,2.20722,42.09503,54.51228
2.34889,30.88304,42.24955,,2.34917,37.29878,49.14393,,2.34889,39.40966,51.03164,,2.34917,36.30864,47.38455,,2.34917,39.53283,51.18999,,2.34889,38.70502,50.9121,,2.34917,38.58666,50.17866,,2.34917,29.73569,43.21541,,2.34917,40.98267,53.55074,,2.34889,42.01285,54.41627
2.49056,30.67237,42.1134,,2.49083,37.25566,49.01731,,2.49028,39.13126,50.79513,,2.49083,35.90334,47.31528,,2.49083,39.26107,51.08329,,2.49056,38.52542,50.89721,,2.49056,38.93048,50.18103,,2.49083,29.81448,43.06304,,2.49083,40.90522,53.63702,,2.49056,41.98371,54.354
2.63222,30.33408,41.80922,,2.6325,37.20084,49.05187,,2.63222,39.12833,50.74543,,2.63222,35.9662,47.06828,,2.6325,39.07758,50.99175,,2.63222,38.33131,50.59659,,2.63222,38.73812,49.99461,,2.6325,29.96642,42.96332,,2.6325,41.07896,53.5739,,2.63222,41.74749,54.33858
2.77389,30.28922,41.44242,,2.77389,37.16738,48.81692,,2.77361,38.9928,50.6192,,2.77389,35.75816,47.08076,,2.77444,39.03047,50.9427,,2.77389,38.50281,50.47004,,2.77389,38.61691,49.82352,,2.77417,29.95801,43.10497,,2.77389,41.00878,53.58687,,2.91556,41.48709,53.89819
2.91528,30.08562,41.26872,,2.91556,36.66212,48.4921,,2.91528,38.86807,50.41266,,2.91556,35.48795,46.58251,,2.91583,38.73505,50.74224,,2.91556,38.20081,50.37567,,2.91556,38.0263,49.4532,,2.91583,29.9462,43.28346,,2.91583,40.99598,53.58536,,3.0575,41.5244,53.81224
3.05722,29.80155,41.06907,,3.05722,36.40526,48.17098,,3.05694,38.87038,50.42421,,3.0575,35.38917,46.80691,,3.0575,38.66753,50.63952,,3.05694,38.08202,50.23656,,3.05722,37.80602,48.92239,,3.0575,29.96,43.4146,,3.05722,41.0175,53.60852,,3.19889,41.41583,53.82652
3.19861,29.58981,41.03362,,3.19889,36.20197,48.05519,,3.19861,38.67724,50.33384,,3.19889,35.32681,46.44106,,3.19917,38.62449,50.52819,,3.19861,37.85756,50.31059,,3.19861,37.60743,48.77624,,3.19917,29.97681,43.29748,,3.19889,40.88047,53.64344,,3.34028,41.31898,53.84846
