TOS [min],c_CO2 [vol%],c_CO [vol%],Degree of oxidation [%]
0,2.01E-04,0,0
0.08333,0.31253,1.7971,0.81222
0.16667,2.52668,2.9751,2.96908
0.25,4.45619,2.72856,5.54692
0.33333,5.69902,2.37825,7.85501
0.41667,6.53083,2.05085,9.8568
0.5,7.13355,1.7825,11.58933
0.58333,7.53884,1.55768,13.09897
0.66667,7.79684,1.38144,14.42735
0.75,7.97692,1.25598,15.61937
0.83333,8.1548,1.1668,16.71438
0.91667,8.25845,1.05748,17.71968
1,8.37738,0.9838,18.64226
1.08333,8.44533,0.92009,19.50275
1.16667,8.51864,0.88776,20.31984
1.25,8.56647,0.84763,21.10417
1.33333,8.63457,0.81259,21.85453
1.41667,8.6473,0.75807,22.56441
1.5,8.6746,0.72769,23.23592
1.58333,8.72167,0.71232,23.88675
1.66667,8.75379,0.68222,24.51703
1.75,8.77682,0.65533,25.12156
1.83333,8.79765,0.62941,25.70221
1.91667,8.80341,0.60904,26.26195
2,8.83183,0.60405,26.81022
2.08333,8.87268,0.59761,27.35333
2.16667,8.8725,0.57152,27.88174
2.25,8.87997,0.55065,28.38892
2.33333,8.8992,0.54167,28.88261
2.41667,8.89081,0.52587,29.3651
2.5,8.90423,0.51713,29.8365
2.58333,8.9053,0.50049,30.29642
2.66667,8.93541,0.49177,30.74489
2.75,8.95417,0.48014,31.18416
2.83333,8.96976,0.47248,31.6147
2.91667,8.95953,0.45588,32.03429
3,9.01565,0.45979,32.44814
3.08333,8.99932,0.44068,32.85512
3.16667,8.98147,0.42175,33.2449
3.25,8.97775,0.41117,33.62135
3.33333,9.0134,0.41761,33.99594
3.41667,9.01769,0.40659,34.36845
3.5,9.0196,0.39571,34.73106
3.58333,9.05731,0.39296,35.08751
3.66667,9.04536,0.38299,35.43821
3.75,9.06093,0.38442,35.78505
3.83333,9.04341,0.36931,36.1257
3.91667,9.06657,0.3648,36.45749
4,9.06724,0.35076,36.7809
4.08333,9.06907,0.34632,37.09595
4.16667,9.0892,0.34804,37.40977
4.25,9.04578,0.32817,37.7154
4.33333,9.08936,0.32772,38.01183
4.41667,9.18013,0.34593,38.3163
4.5,9.14104,0.32884,38.62127
4.58333,9.11779,0.31895,38.91405
4.66667,9.11077,0.31102,39.19878
4.75,9.12887,0.30806,39.47858
4.83333,9.14897,0.29983,39.75332
4.91667,9.12204,0.28683,40.01847
5,9.15776,0.29353,40.28078
5.08333,9.141,0.28311,40.5414
5.16667,9.13346,0.27172,40.79216
5.25,9.16213,0.27441,41.03899
5.33333,9.17912,0.27435,41.28702
5.41667,9.16267,0.26597,41.53122
5.5,9.18063,0.26786,41.7725
5.58333,9.18882,0.26423,42.01298
5.66667,9.16956,0.25066,42.24569
5.75,9.21287,0.2598,42.4764
5.83333,9.17883,0.24834,42.70606
5.91667,9.19884,0.24836,42.93055
6,9.18864,0.23989,43.15122
6.08333,9.18476,0.23037,43.36376
6.16667,9.1875,0.22812,43.57098
6.25,9.18446,0.22553,43.77601
6.33333,9.2019,0.22877,43.98134
6.41667,9.21282,0.2265,44.1871
6.5,9.22319,0.22231,44.38995
6.58333,9.20621,0.2124,44.58642
6.66667,9.20352,0.21128,44.77791
6.75,9.16529,0.19822,44.96299
6.83333,9.22138,0.21045,45.1477
6.91667,9.20711,0.20093,45.33363
