TOS_REF[h],X_CH4_REF [%],X_CO2_REF [%],,TOS_1Mn [h],X_CH4_1Mn [%],X_CO2_1Mn [%],,TOS_0.5Mn [h],X_CH4_0.5Mn [%],X_CO2_0.5Mn [%],,TOS_0.25Mn [h],X_CH4_0.25Mn [%],X_CO2_0.25 Mn [%],,TOS_1Cr [h],X_CH4_1Cr [%],X_CO2_1Cr [%],,TOS-0.5Cr [h],X_CH4_0.5Cr [%],X_CO2_0.5Cr [%],,TOS_0.25Cr [h],X_CH4_0.25Cr [%],X_CO2_0.25Cr [%],,TOS_1Fe [h],X_CH4_1Fe [%],X_CO2_1Fe [%],,TOS_0.5Fe [h],X_CH4_0.5Fe [%],X_CO2_0.5Fe [%],,TOS_0.25Fe [h],X_CH4_0.25Fe [%],X_CO2_0.25Fe [%]
0.08333,39.98295,51.51814,,0.08333,39.39672,50.08827,,0.08333,40.42091,51.92894,,0.08333,43.04766,53.49157,,0.08333,43.90814,56.47932,,0.08333,41.14052,53.48995,,0.08333,43.6533,54.29216,,0.08333,20.47333,33.64253,,0.08333,39.2652,52.08899,,0.08333,43.53358,55.60825
0.225,38.61476,49.88088,,0.22472,38.59505,50.28844,,0.22528,39.67174,51.30609,,0.22528,41.81397,53.05734,,0.225,43.57143,56.09834,,0.225,40.91343,52.94218,,0.22528,42.95194,53.97187,,0.22472,23.05982,36.53926,,0.225,40.18672,53.01028,,0.22472,43.83573,55.89164
0.36639,37.56652,49.09059,,0.36639,38.52075,50.11014,,0.36694,39.52514,51.03257,,0.36694,41.18222,52.44077,,0.36694,43.31624,55.56532,,0.36667,40.28034,52.41674,,0.36667,42.39216,53.73633,,0.36639,24.45822,37.96784,,0.36667,40.69433,53.07714,,0.36639,43.89434,55.9657
0.50806,36.08002,47.62005,,0.50806,38.42068,49.88024,,0.50833,38.90593,50.59563,,0.50861,40.95467,51.99291,,0.50833,42.93394,54.87819,,0.50833,39.88149,51.88996,,0.50806,41.99926,53.01695,,0.50806,25.18586,38.49602,,0.50833,40.82851,53.42984,,0.50833,43.86373,55.96864
0.64972,35.47646,47.06514,,0.64944,37.87134,49.83273,,0.65028,38.76938,50.2911,,0.65028,40.50191,51.83782,,0.65,42.50517,54.6449,,0.65,39.47543,51.48886,,0.64972,41.42949,52.40393,,0.64972,26.30866,39.90265,,0.65,40.87382,53.6294,,0.65,43.69901,55.81763
0.79139,34.55597,45.83178,,0.79111,38.18285,49.78889,,0.79167,38.46831,50.06552,,0.79167,40.32725,51.4045,,0.79139,41.88276,53.98489,,0.79139,38.80156,50.66376,,0.79139,40.97897,51.93619,,0.79139,26.78512,40.27887,,0.79139,40.93394,53.63584,,0.79139,43.72533,55.76595
0.93278,34.02485,45.38564,,0.93306,38.19461,49.56698,,0.93306,38.25837,49.93533,,0.93333,40.06455,51.17115,,0.93333,41.69826,53.74094,,0.93333,38.15253,50.3929,,0.93333,40.42366,51.4813,,0.93306,26.98397,40.67042,,0.93306,41.00184,53.67152,,0.93306,43.66897,55.80002
1.07472,33.52042,44.75684,,1.07444,38.03596,49.44371,,1.07472,38.05837,49.66073,,1.07472,39.78387,50.97137,,1.07472,41.45512,53.78967,,1.07472,37.92147,49.83149,,1.075,40.23887,51.1884,,1.07472,27.20856,40.79574,,1.07444,41.13217,53.65124,,1.07444,43.56629,55.56311
1.21611,32.85469,44.22762,,1.21611,37.83613,49.5493,,1.21694,37.90084,49.41546,,1.21639,39.43226,50.7527,,1.21667,40.98082,53.16294,,1.21639,37.67638,49.73787,,1.21611,39.90517,50.98961,,1.21611,27.48157,40.95145,,1.21667,40.98627,53.84472,,1.21611,43.55872,55.55277
1.35778,32.62408,43.59783,,1.35778,37.73826,49.32409,,1.35806,37.68783,49.38418,,1.35806,39.25259,50.22405,,1.35778,40.77329,52.90162,,1.35778,37.40237,49.44403,,1.35778,39.71602,50.67336,,1.35778,27.6979,41.18873,,1.35833,40.99544,53.76573,,1.35778,43.41247,55.44265
