T _REF[°C],CO2_concentration_REF [a.u.],,T_1Mn [°C],CO2_concentration_1Mn[a.u.],,T_1Cr[°C],CO2_concentration_1Cr [a.u.],,T_1Fe[°C],CO2_concentration_1Fe [a.u.]
26.4,1.89E-04,,30.2,5.35E-04,,26.3,1.21E-04,,25.6,1.63E-04
26.5,1.82E-04,,30.3,5.34E-04,,26.4,1.22E-04,,25.7,1.61E-04
26.5,1.82E-04,,30.5,5.31E-04,,26.4,1.21E-04,,25.7,1.59E-04
26.5,1.84E-04,,30.6,5.32E-04,,26.5,1.25E-04,,25.7,1.66E-04
26.6,1.80E-04,,30.6,5.27E-04,,26.6,1.24E-04,,25.8,1.55E-04
26.6,1.86E-04,,30.7,5.32E-04,,26.7,1.23E-04,,25.9,1.61E-04
,1.79E-04,,30.8,5.36E-04,,26.8,1.23E-04,,25.9,1.57E-04
26.7,1.79E-04,,31,5.36E-04,,26.9,1.25E-04,,26,1.56E-04
26.8,1.81E-04,,31.1,5.36E-04,,27,1.21E-04,,26.1,1.58E-04
26.9,1.75E-04,,31.3,5.30E-04,,27.1,1.20E-04,,26.2,1.56E-04
,1.76E-04,,31.4,5.36E-04,,27.1,1.23E-04,,26.2,1.60E-04
27,1.73E-04,,31.6,5.34E-04,,27.3,1.19E-04,,26.3,1.59E-04
,1.74E-04,,31.7,5.36E-04,,27.4,1.17E-04,,26.4,1.58E-04
27.2,1.75E-04,,31.9,5.35E-04,,27.4,1.16E-04,,26.5,1.56E-04
27.3,1.73E-04,,32.1,5.45E-04,,27.6,1.22E-04,,26.6,1.59E-04
27.4,1.72E-04,,32.2,5.45E-04,,27.7,1.21E-04,,26.7,1.58E-04
27.5,1.71E-04,,32.4,5.41E-04,,27.9,1.21E-04,,26.9,1.52E-04
27.6,1.67E-04,,32.5,5.44E-04,,28,1.20E-04,,27,1.54E-04
27.7,1.69E-04,,32.8,5.51E-04,,28.1,1.21E-04,,27.1,1.54E-04
27.8,1.76E-04,,33,5.54E-04,,28.2,1.19E-04,,27.2,1.56E-04
27.9,1.74E-04,,33.1,5.54E-04,,28.4,1.19E-04,,27.4,1.54E-04
28,1.71E-04,,33.3,5.57E-04,,28.6,1.20E-04,,27.6,1.58E-04
28.2,1.71E-04,,33.5,5.56E-04,,28.8,1.19E-04,,27.9,1.54E-04
