Tipo,TOS [h],X_CH4 [%],X_CO2 [%]
REF_C2,25.08333,44.40903,56.40732
REF_C2,25.22444,43.55315,55.84426
REF_C2,25.36611,42.99698,55.40376
REF_C2,25.50778,42.50366,54.99131
REF_C2,25.64944,42.33335,54.66956
REF_C2,25.79111,42.00951,54.44247
REF_C2,25.93278,41.84874,54.27044
REF_C2,26.07444,41.23082,53.75364
REF_C2,26.21611,41.03949,53.66923
REF_C2,26.35778,40.72914,53.56964
REF_C2,26.49917,40.64812,53.28792
REF_C2,26.64083,40.53667,53.07096
REF_C2,26.78278,40.34213,53.01574
REF_C2,26.92417,40.2413,52.97101
REF_C2,27.06583,40.11669,52.71376
REF_C2,27.20722,39.53894,52.30503
REF_C2,27.34917,39.24564,51.98604
REF_C2,27.49083,38.80498,51.51665
REF_C2,27.63222,38.75413,51.42046
REF_C2,27.77361,38.64023,51.30809
REF_C2,27.91528,38.49954,51.29416
REF_C2,28.05667,38.38869,51.138
REF_C2,28.19833,38.32109,51.05253
REF_C2,28.34,38.20829,51.09469
REF_C2,28.48167,38.12669,50.79053
REF_C2,28.62306,38.0958,50.73907
REF_C2,28.765,37.94748,50.76824
REF_C2,28.90667,37.92283,50.51624
REF_C2,29.04833,37.87354,50.56957
REF_C2,29.18972,37.78328,50.58237
REF_C2,29.33139,37.56181,50.38907
REF_C2,29.47306,37.57369,50.31111
REF_C2,29.615,37.47304,50.16575
REF_C2,29.75611,37.38706,50.24919
REF_C2,29.89778,37.41214,50.17125
REF_C2,30.03972,37.18185,50.25459
REF_C2,30.18083,37.1441,50.00393
REF_C2,30.3225,37.10639,49.84897
REF_C2,30.46417,37.07954,49.86754
REF_C2,30.60611,36.88309,49.77547
REF_C2,30.74778,36.95125,49.63248
REF_C2,30.88889,36.8104,49.71364
REF_C2,31.03056,36.70269,49.67596
REF_C2,31.1725,36.65322,49.59752
REF_C2,31.31417,36.65825,49.44273
REF_C2,31.45556,36.54519,49.38892
REF_C2,31.59722,36.55301,49.31288
REF_C2,31.73889,36.38594,49.23972
REF_C2,31.88083,36.34916,49.21119
REF_C2,32.02194,36.39923,49.25057
REF_C2,32.16361,36.2898,49.09888
REF_C2,32.30556,36.22532,48.99851
REF_C2,32.44722,36.22631,49.09979
REF_C2,32.58861,36.13474,49.077
REF_C2,32.73028,36.10044,49.01958
REF_C2,32.87167,35.96664,48.95021
REF_C2,33.01306,36.00729,48.87543
REF_C2,33.15472,35.9165,48.77183
REF_C2,33.29639,35.78755,48.81839
REF_C2,33.43778,35.82728,48.72872
REF_C2,33.57972,35.82895,48.7633
REF_C2,33.72139,35.76844,48.65312
REF_C2,33.86306,35.6383,48.48348
REF_C2,34.00472,35.7477,48.59435
REF_C2,34.14611,35.57086,48.61094
REF_C2,34.28778,35.15994,48.56358
REF_C2,34.42944,35.5551,48.3877
REF_C2,34.57056,35.34439,48.3478
REF_C2,34.71222,35.46603,48.31937
REF_C2,34.85389,35.36166,48.33405
REF_C2,34.99528,35.40236,48.35391
REF_C2,35.13694,35.27501,48.18771
REF_C2,35.27861,35.32178,48.09347
REF_C2,35.42056,35.29198,48.12534
REF_C2,35.56194,35.23059,47.93196
REF_C2,35.70361,35.2029,48.08528
REF_C2,35.84556,35.08534,48.05445
REF_C2,35.98722,35.0421,47.99227
REF_C2,36.12833,35.10058,47.87195
REF_C2,36.27028,34.93926,47.89357
REF_C2,36.41167,35.10479,47.70384
REF_C2,36.55361,34.84465,47.8762
REF_C2,36.695,34.82211,47.7387
REF_C2,36.83639,34.82538,47.77718
REF_C2,36.97806,34.90924,47.74306
REF_C2,37.11944,34.76882,47.65456
REF_C2,37.26111,34.79166,47.73276
REF_C2,37.40278,34.69402,47.74388
REF_C2,37.54444,34.73371,47.55145
REF_C2,37.68583,34.72299,47.48059
REF_C2,37.8275,34.65394,47.37836
REF_C2,37.96917,34.63703,47.43569
REF_C2,38.11083,34.56258,47.3385
REF_C2,38.2525,34.58785,47.26711
REF_C2,38.39417,34.5064,47.41137
REF_C2,38.53583,34.42815,47.40586
REF_C2,38.67722,34.4003,47.3418
REF_C2,38.81889,34.42043,47.31339
REF_C2,38.96056,34.31429,47.22253
REF_C2,39.1025,34.29003,47.15959
REF_C2,39.24389,34.32861,47.2287
REF_C2,39.38528,34.27279,47.17562
REF_C2,39.52694,34.17054,47.07908
REF_C2,39.66861,34.22991,47.12223
REF_C2,39.81,34.14245,46.94666
REF_C2,39.95167,34.17851,46.92527
REF_C2,40.09361,34.06484,47.05742
REF_C2,40.23528,34.12939,47.01075
REF_C2,40.37667,34.04176,46.72298
REF_C2,40.51833,33.94402,46.93533
REF_C2,40.66,33.93558,46.83285
REF_C2,40.80139,33.97589,46.88627
