Tipo,TOS [h],X_CH4 [%],X_CO2 [%]
REF_C1,0.08333,39.98295,51.51814
REF_C1,0.225,38.61476,49.88088
REF_C1,0.36639,37.56652,49.09059
REF_C1,0.50806,36.08002,47.62005
REF_C1,0.64972,35.47646,47.06514
REF_C1,0.79139,34.55597,45.83178
REF_C1,0.93278,34.02485,45.38564
REF_C1,1.07472,33.52042,44.75684
REF_C1,1.21611,32.85469,44.22762
REF_C1,1.35778,32.62408,43.59783
REF_C1,1.49917,32.1466,43.38571
REF_C1,1.64083,31.81085,42.99084
REF_C1,1.78278,31.15561,42.35944
REF_C1,1.92444,30.85657,41.98222
REF_C1,2.06611,30.56742,41.72164
REF_C1,2.2075,30.57642,41.33673
REF_C1,2.34944,30.02242,41.06924
REF_C1,2.49083,29.57922,40.9783
REF_C1,2.6325,29.42945,40.7874
REF_C1,2.77389,29.52534,40.39888
REF_C1,2.91556,29.0489,40.42802
REF_C1,3.05694,29.15182,40.17055
REF_C1,3.19861,28.74363,39.54879
REF_C1,3.34028,28.63875,39.43264
REF_C1,3.48222,28.46327,39.32886
REF_C1,3.62361,28.20256,39.05761
REF_C1,3.76528,28.10273,38.99679
REF_C1,3.90694,28.0584,38.99896
REF_C1,4.04833,27.82799,38.68676
REF_C1,4.19,27.72227,38.57621
REF_C1,4.33194,27.8045,38.478
REF_C1,4.47361,27.48983,38.30013
REF_C1,4.61472,27.40182,38.30904
REF_C1,4.75639,27.40801,37.94557
REF_C1,4.89806,27.37901,38.00614
REF_C1,5.03944,27.19366,37.92092
REF_C1,5.18111,27.09902,37.80765
REF_C1,5.32278,26.99287,37.68907
REF_C1,5.46472,26.92089,37.70793
REF_C1,5.60611,26.90063,37.52779
REF_C1,5.74778,26.69886,37.35892
REF_C1,5.88972,26.68345,37.31341
REF_C1,6.03111,26.64987,37.1366
REF_C1,6.17306,26.63022,37.13937
REF_C1,6.31389,26.55023,37.15939
REF_C1,6.45556,26.51346,37.00631
REF_C1,6.59722,26.36351,36.9057
REF_C1,6.73917,26.21681,36.8773
REF_C1,6.88083,26.24504,36.75614
REF_C1,7.02222,26.13788,36.77225
REF_C1,7.16361,26.09082,36.62671
REF_C1,7.30583,26.06757,36.70563
REF_C1,7.44722,26.08533,36.69752
REF_C1,7.58861,26.06296,36.59534
REF_C1,7.73028,26.02061,36.48562
REF_C1,7.87167,25.98964,36.24748
REF_C1,8.01333,25.99712,36.40412
REF_C1,8.155,25.90105,36.30733
REF_C1,8.29667,25.79018,36.21645
REF_C1,8.43833,25.72259,35.99318
REF_C1,8.58,25.63797,36.03797
REF_C1,8.72139,25.61476,35.86486
REF_C1,8.86306,25.5556,36.01847
