Tipo,TOS [h],X_CH4 [%],X_CO2 [%]
REF,0.08333,40.69836,52.09569
REF,0.225,39.32079,50.98175
REF,0.36694,38.02835,49.99592
REF,0.50806,37.15461,49.20534
REF,0.65,36.45722,48.42216
REF,0.79139,36.26557,47.67721
REF,0.93333,35.46515,47.19057
REF,1.075,34.42932,46.38715
REF,1.21611,34.2875,45.98518
REF,1.35833,33.54878,45.37464
REF,1.49972,33.08925,45.09874
REF,1.64139,32.5823,44.34459
REF,1.78278,32.30412,43.97241
REF,1.92417,32.10992,43.77508
REF,2.06583,31.59861,43.13451
REF,2.20778,31.22115,42.79182
REF,2.34944,30.72355,42.73195
REF,2.49056,30.69926,42.25504
REF,2.63222,30.51838,41.972
REF,2.77417,30.33347,41.83036
REF,2.91583,29.58631,41.6561
REF,3.05722,29.81502,41.53674
REF,3.19889,29.57798,41.11922
REF,3.34028,29.2447,40.84063
REF,3.48194,29.22409,40.43374
REF,3.62361,28.91763,40.56668
REF,3.76528,28.44712,40.14174
REF,3.90667,28.43141,40.00139
REF,4.04833,28.32571,39.92069
REF,4.19,27.62223,39.07718
REF,4.33167,27.77701,39.07971
REF,4.47306,27.45076,38.83011
REF,4.61472,27.24785,38.68038
REF,4.75639,27.28192,38.67745
REF,4.89806,27.17483,38.55157
REF,5.03972,27.31632,38.30692
REF,5.18139,26.95946,38.31879
REF,5.32278,26.73075,38.21523
REF,5.46444,26.83365,38.20304
REF,5.60639,26.79164,37.9358
REF,5.74806,26.89584,37.80726
REF,5.88917,26.57676,37.90026
REF,6.03083,26.76247,37.74573
REF,6.17278,26.47533,37.68824
REF,6.31444,26.22768,37.61238
REF,6.45611,26.23053,37.56835
REF,6.59778,26.07202,37.57195
REF,6.73944,26.14885,37.33714
REF,6.88056,25.89715,37.41238
REF,7.0225,26.09113,37.3158
REF,7.16417,26.0412,36.99587
REF,7.30556,25.77964,37.05813
REF,7.44722,25.53398,36.95716
REF,7.58861,25.79248,36.88466
REF,7.73028,25.66804,36.95213
REF,7.87194,25.71494,36.76951
REF,8.01361,25.71218,36.86661
REF,8.155,25.62439,36.63418
REF,8.29667,25.57468,36.66759
REF,8.43861,25.40785,36.69223
REF,8.58,25.72884,36.54086
REF,8.72167,25.44793,36.49016
REF,8.86333,25.10152,36.30496
REF,9.005,25.27688,36.25962
REF,9.14639,25.21765,36.35674
REF,9.28833,25.14545,36.07263
REF,9.42972,25.01056,36.04364
REF,9.57167,24.67909,36.20185
REF,9.71278,24.81893,35.96204
REF,9.85472,24.81634,35.89912
REF,9.99611,24.59882,35.91371
REF,10.13806,24.59138,35.92274
REF,10.27972,24.69132,35.85034
REF,10.42139,24.53133,35.86858
REF,10.56333,24.47674,35.79102
REF,10.70444,24.66711,35.70568
REF,10.84639,24.4668,35.72542
REF,10.98806,24.35547,35.64026
REF,11.12944,24.41248,35.65497
REF,11.27083,24.20355,35.5672
REF,11.4125,24.37787,35.40443
REF,11.55444,24.24046,35.39752
REF,11.69611,24.19326,35.37103
REF,11.8375,23.83569,35.45901
REF,11.97889,24.19206,35.49081
REF,12.12056,24.10304,35.17251
REF,12.26222,24.15135,35.20509
REF,12.40361,24.31614,35.18645
REF,12.54583,23.99482,35.07149
REF,12.68694,23.94009,35.11551
REF,12.82889,23.88536,35.15708
REF,12.97028,23.84029,35.10074
REF,13.11194,23.65853,34.9442
REF,13.25333,23.96905,35.15005
REF,13.39528,23.58372,35.22021
REF,13.53667,24.02607,34.81429
REF,13.67806,23.88573,34.72195
REF,13.82028,23.59082,34.78296
REF,13.96139,23.62258,34.83504
REF,14.10306,23.5554,34.818
REF,14.245,23.74434,34.84998
REF,14.38639,23.61726,34.67281
REF,14.52778,23.57374,34.7033
REF,14.66944,23.54886,34.88716
REF,14.81111,23.35795,34.70937
REF,14.95278,23.405,34.7065
REF,15.09444,23.48828,34.61164
REF,15.23583,23.49687,34.56626
REF,15.3775,23.18985,34.46068
REF,15.51917,23.34706,34.46152
REF,15.66056,23.60485,34.38006
REF,15.8025,23.51763,34.23579
REF,15.94417,23.32694,34.45644
REF,16.08583,23.29883,34.43464
REF,16.2275,23.21035,34.28015
REF,16.36889,23.13444,34.47026
REF,16.65222,23.11118,34.16459
REF,16.79361,23.05939,34.35791
REF,16.93556,23.1006,34.28906
REF,17.07667,23.21671,34.26455
REF,17.21833,23.05379,34.15168
REF,17.36056,22.94015,34.10305
REF,17.50194,23.33365,34.1642
REF,17.64333,22.94005,34.13103
REF,17.785,22.93148,34.24243
REF,17.92694,22.70909,34.01251
REF,18.06833,22.99322,34.09473
REF,18.21,23.05283,33.88777
REF,18.35139,22.83683,33.90246
REF,18.49306,23.05314,34.01725
REF,18.635,22.78409,34.10501
REF,18.77667,22.79694,33.97167
REF,18.91806,22.84449,34.1309
REF,19.05972,22.77133,34.04562
REF,19.20139,22.83614,33.99538
REF,19.3425,22.84299,33.88209
REF,19.48417,22.75158,33.83905
REF,19.62611,22.79814,33.68027
REF,19.7675,22.85448,33.92154
REF,19.90944,22.58926,33.79133
REF,20.05083,22.74195,33.92841
REF,20.19278,22.67913,33.81352
REF,20.33389,22.57659,33.98954
REF,20.47583,22.61953,33.64696
REF,20.61722,22.64353,33.59985
REF,20.75889,22.67125,33.34361
REF,20.90083,22.5439,33.68016
REF,21.04222,22.51204,33.75508
REF,21.18389,22.58382,33.46387
REF,21.325,22.4898,33.66432
REF,21.46667,22.4783,33.69339
