Tipo,T [°C],TCD_signal [a.u.]
REF,200.09854,5.05E-04
REF,200.09521,5.44E-04
REF,200.08708,4.10E-04
REF,200.09189,4.86E-04
REF,200.0941,4.86E-04
REF,200.10373,4.70E-04
REF,200.10594,4.41E-04
REF,200.11111,4.51E-04
REF,200.1041,5.05E-04
REF,200.10039,5.27E-04
REF,200.10223,5.75E-04
REF,200.10262,5.84E-04
REF,200.10556,5.91E-04
REF,200.09854,5.94E-04
REF,200.0941,5.44E-04
REF,200.11111,5.94E-04
REF,200.09927,5.46E-04
REF,200.10594,5.91E-04
REF,200.1174,6.48E-04
REF,200.11111,5.05E-04
REF,200.11629,4.60E-04
REF,200.11111,4.96E-04
REF,200.10779,4.22E-04
REF,200.10779,5.46E-04
REF,200.09225,4.77E-04
REF,200.11296,4.79E-04
REF,200.09854,5.65E-04
REF,200.10556,5.84E-04
REF,200.09558,5.75E-04
REF,200.1174,4.39E-04
REF,200.12146,4.77E-04
REF,200.12257,4.48E-04
REF,200.10927,5.25E-04
REF,200.09189,5.08E-04
REF,200.09373,5.05E-04
REF,200.09004,5.72E-04
REF,200.09706,5.63E-04
REF,200.08191,5.27E-04
REF,200.0856,5.53E-04
REF,200.08043,5.75E-04
REF,200.05824,5.72E-04
REF,200.05602,5.46E-04
REF,200.06268,5.27E-04
REF,200.05307,5.56E-04
REF,200.05602,4.60E-04
REF,200.05786,5.27E-04
REF,200.05602,4.79E-04
REF,200.04567,4.20E-04
REF,200.03383,4.32E-04
REF,200.04788,3.84E-04
REF,200.03235,3.84E-04
REF,200.02681,4.01E-04
REF,200.03235,3.27E-04
REF,200.02385,4.58E-04
REF,200.04271,3.34E-04
REF,200.02385,3.65E-04
REF,200.03754,3.36E-04
REF,200.0305,3.05E-04
REF,200.01498,3.62E-04
REF,200.01682,3.93E-04
REF,200.0172,3.93E-04
REF,200.01498,5.17E-04
REF,199.99463,4.86E-04
REF,200.00314,4.67E-04
REF,199.98946,5.75E-04
REF,199.99612,5.82E-04
REF,199.98761,5.65E-04
REF,199.98096,4.89E-04
REF,199.97061,6.51E-04
REF,199.96765,5.44E-04
REF,199.95396,6.79E-04
REF,199.9536,5.94E-04
REF,199.95064,6.96E-04
REF,199.94843,5.63E-04
REF,199.96098,6.39E-04
REF,199.96765,6.70E-04
REF,199.95064,7.37E-04
REF,199.94547,6.51E-04
REF,199.93658,6.79E-04
REF,199.94731,6.32E-04
REF,199.94028,6.03E-04
REF,199.9351,6.29E-04
REF,199.93806,6.70E-04
REF,199.93178,7.18E-04
REF,199.93474,7.27E-04
REF,199.95026,7.27E-04
REF,199.94324,6.51E-04
REF,199.94028,6.39E-04
REF,199.9436,6.13E-04
REF,199.94028,6.96E-04
REF,199.94547,6.68E-04
REF,199.94843,7.27E-04
REF,199.95396,6.70E-04
REF,199.95175,6.51E-04
REF,199.93289,5.94E-04
REF,199.93843,5.91E-04
REF,199.93474,6.01E-04
REF,199.93695,5.75E-04
REF,199.95175,6.32E-04
REF,199.94508,6.13E-04
REF,199.9621,6.32E-04
REF,199.94843,5.63E-04
REF,199.93474,5.25E-04
REF,199.93289,5.08E-04
REF,199.90256,4.79E-04
REF,199.91772,4.86E-04
REF,199.91588,4.01E-04
REF,199.91772,3.74E-04
REF,199.90219,3.15E-04
REF,199.89702,2.98E-04
REF,199.89406,2.67E-04
REF,199.90071,2.60E-04
REF,199.87704,2.19E-04
REF,199.88,2.50E-04
REF,199.88852,2.67E-04
REF,199.88925,3.62E-04
REF,199.88223,3.24E-04
REF,199.88371,4.10E-04
REF,199.88519,3.55E-04
REF,199.89221,4.01E-04
REF,199.90256,3.84E-04
REF,199.89406,3.74E-04
REF,199.90738,3.81E-04
REF,199.89554,3.81E-04
REF,199.91995,3.72E-04
REF,199.91809,2.86E-04
REF,199.90923,2.86E-04
REF,199.9059,3.05E-04
REF,199.92328,3.17E-04
REF,199.92993,2.12E-04
REF,199.92438,2.79E-04
REF,199.93806,2.57E-04
REF,199.94324,2.10E-04
REF,199.94508,2.57E-04
REF,199.94843,2.79E-04
REF,199.96765,2.79E-04
REF,199.95396,2.96E-04
REF,199.94731,3.62E-04
REF,199.95692,3.36E-04
REF,199.95175,3.46E-04
REF,199.93806,3.15E-04
REF,199.95914,4.20E-04
REF,199.95396,3.43E-04
REF,199.95396,4.01E-04
REF,199.94879,3.15E-04
REF,199.95026,3.91E-04
REF,199.94508,2.69E-04
REF,199.94214,2.77E-04
REF,199.92661,3.34E-04
REF,199.93806,2.77E-04
REF,199.94214,3.34E-04
REF,199.94731,2.96E-04
REF,199.94879,2.69E-04
REF,199.93178,2.50E-04
REF,199.92807,1.74E-04
REF,199.92993,2.98E-04
REF,199.94028,2.69E-04
REF,199.93806,3.24E-04
REF,199.95175,3.05E-04
REF,199.92957,3.17E-04
REF,199.91957,2.79E-04
REF,199.94508,2.60E-04
REF,199.92624,3.17E-04
REF,199.91624,2.96E-04
REF,199.92513,2.60E-04
REF,199.92142,2.88E-04
REF,199.93178,3.05E-04
REF,199.91995,2.79E-04
REF,199.92957,2.38E-04
REF,199.91809,3.27E-04
REF,199.92957,2.48E-04
REF,199.93806,2.03E-04
REF,199.94028,2.29E-04
REF,199.94176,1.84E-04
REF,199.93658,1.84E-04
REF,199.93843,1.84E-04
REF,199.94547,1.81E-04
REF,199.94843,1.62E-04
