Tipo,TOS_30H2_CO2 [h],X_CH4_30H2_CO2 [%],X_CO2_30H2_CO2 [%]
30_H2_CO2_C2,25.08333,44.40903,56.40732
30_H2_CO2_C2,25.22444,43.55315,55.84426
30_H2_CO2_C2,25.36611,42.99698,55.40376
30_H2_CO2_C2,25.50778,42.50366,54.99131
30_H2_CO2_C2,25.64944,42.33335,54.66956
30_H2_CO2_C2,25.79111,42.00951,54.44247
30_H2_CO2_C2,25.93278,41.84874,54.27044
30_H2_CO2_C2,26.07444,41.23082,53.75364
30_H2_CO2_C2,26.21611,41.03949,53.66923
30_H2_CO2_C2,26.35778,40.72914,53.56964
30_H2_CO2_C2,26.49917,40.64812,53.28792
30_H2_CO2_C2,26.64083,40.53667,53.07096
30_H2_CO2_C2,26.78278,40.34213,53.01574
30_H2_CO2_C2,26.92417,40.2413,52.97101
30_H2_CO2_C2,27.06583,40.11669,52.71376
30_H2_CO2_C2,27.20722,39.53894,52.30503
30_H2_CO2_C2,27.34917,39.24564,51.98604
30_H2_CO2_C2,27.49083,38.80498,51.51665
30_H2_CO2_C2,27.63222,38.75413,51.42046
30_H2_CO2_C2,27.77361,38.64023,51.30809
30_H2_CO2_C2,27.91528,38.49954,51.29416
30_H2_CO2_C2,28.05667,38.38869,51.138
30_H2_CO2_C2,28.19833,38.32109,51.05253
30_H2_CO2_C2,28.34,38.20829,51.09469
30_H2_CO2_C2,28.48167,38.12669,50.79053
30_H2_CO2_C2,28.62306,38.0958,50.73907
30_H2_CO2_C2,28.765,37.94748,50.76824
30_H2_CO2_C2,28.90667,37.92283,50.51624
30_H2_CO2_C2,29.04833,37.87354,50.56957
30_H2_CO2_C2,29.18972,37.78328,50.58237
30_H2_CO2_C2,29.33139,37.56181,50.38907
30_H2_CO2_C2,29.47306,37.57369,50.31111
30_H2_CO2_C2,29.615,37.47304,50.16575
30_H2_CO2_C2,29.75611,37.38706,50.24919
30_H2_CO2_C2,29.89778,37.41214,50.17125
30_H2_CO2_C2,30.03972,37.18185,50.25459
30_H2_CO2_C2,30.18083,37.1441,50.00393
30_H2_CO2_C2,30.3225,37.10639,49.84897
30_H2_CO2_C2,30.46417,37.07954,49.86754
30_H2_CO2_C2,30.60611,36.88309,49.77547
30_H2_CO2_C2,30.74778,36.95125,49.63248
30_H2_CO2_C2,30.88889,36.8104,49.71364
30_H2_CO2_C2,31.03056,36.70269,49.67596
30_H2_CO2_C2,31.1725,36.65322,49.59752
30_H2_CO2_C2,31.31417,36.65825,49.44273
30_H2_CO2_C2,31.45556,36.54519,49.38892
30_H2_CO2_C2,31.59722,36.55301,49.31288
30_H2_CO2_C2,31.73889,36.38594,49.23972
30_H2_CO2_C2,31.88083,36.34916,49.21119
30_H2_CO2_C2,32.02194,36.39923,49.25057
30_H2_CO2_C2,32.16361,36.2898,49.09888
30_H2_CO2_C2,32.30556,36.22532,48.99851
30_H2_CO2_C2,32.44722,36.22631,49.09979
30_H2_CO2_C2,32.58861,36.13474,49.077
30_H2_CO2_C2,32.73028,36.10044,49.01958
30_H2_CO2_C2,32.87167,35.96664,48.95021
30_H2_CO2_C2,33.01306,36.00729,48.87543
30_H2_CO2_C2,33.15472,35.9165,48.77183
30_H2_CO2_C2,33.29639,35.78755,48.81839
30_H2_CO2_C2,33.43778,35.82728,48.72872
30_H2_CO2_C2,33.57972,35.82895,48.7633
30_H2_CO2_C2,33.72139,35.76844,48.65312
30_H2_CO2_C2,33.86306,35.6383,48.48348
30_H2_CO2_C2,34.00472,35.7477,48.59435
30_H2_CO2_C2,34.14611,35.57086,48.61094
30_H2_CO2_C2,34.28778,35.15994,48.56358
30_H2_CO2_C2,34.42944,35.5551,48.3877
30_H2_CO2_C2,34.57056,35.34439,48.3478
30_H2_CO2_C2,34.71222,35.46603,48.31937
30_H2_CO2_C2,34.85389,35.36166,48.33405
30_H2_CO2_C2,34.99528,35.40236,48.35391
30_H2_CO2_C2,35.13694,35.27501,48.18771
30_H2_CO2_C2,35.27861,35.32178,48.09347
30_H2_CO2_C2,35.42056,35.29198,48.12534
30_H2_CO2_C2,35.56194,35.23059,47.93196
30_H2_CO2_C2,35.70361,35.2029,48.08528
30_H2_CO2_C2,35.84556,35.08534,48.05445
30_H2_CO2_C2,35.98722,35.0421,47.99227
30_H2_CO2_C2,36.12833,35.10058,47.87195
30_H2_CO2_C2,36.27028,34.93926,47.89357
30_H2_CO2_C2,36.41167,35.10479,47.70384
30_H2_CO2_C2,36.55361,34.84465,47.8762
30_H2_CO2_C2,36.695,34.82211,47.7387
30_H2_CO2_C2,36.83639,34.82538,47.77718
30_H2_CO2_C2,36.97806,34.90924,47.74306
30_H2_CO2_C2,37.11944,34.76882,47.65456
30_H2_CO2_C2,37.26111,34.79166,47.73276
30_H2_CO2_C2,37.40278,34.69402,47.74388
30_H2_CO2_C2,37.54444,34.73371,47.55145
30_H2_CO2_C2,37.68583,34.72299,47.48059
30_H2_CO2_C2,37.8275,34.65394,47.37836
30_H2_CO2_C2,37.96917,34.63703,47.43569
30_H2_CO2_C2,38.11083,34.56258,47.3385
30_H2_CO2_C2,38.2525,34.58785,47.26711
30_H2_CO2_C2,38.39417,34.5064,47.41137
30_H2_CO2_C2,38.53583,34.42815,47.40586
30_H2_CO2_C2,38.67722,34.4003,47.3418
30_H2_CO2_C2,38.81889,34.42043,47.31339
30_H2_CO2_C2,38.96056,34.31429,47.22253
30_H2_CO2_C2,39.1025,34.29003,47.15959
30_H2_CO2_C2,39.24389,34.32861,47.2287
30_H2_CO2_C2,39.38528,34.27279,47.17562
30_H2_CO2_C2,39.52694,34.17054,47.07908
30_H2_CO2_C2,39.66861,34.22991,47.12223
30_H2_CO2_C2,39.81,34.14245,46.94666
30_H2_CO2_C2,39.95167,34.17851,46.92527
30_H2_CO2_C2,40.09361,34.06484,47.05742
30_H2_CO2_C2,40.23528,34.12939,47.01075
30_H2_CO2_C2,40.37667,34.04176,46.72298
30_H2_CO2_C2,40.51833,33.94402,46.93533
30_H2_CO2_C2,40.66,33.93558,46.83285
30_H2_CO2_C2,40.80139,33.97589,46.88627
30_H2_CO2_C2,40.94333,33.8775,46.74691
30_H2_CO2_C2,41.08444,33.92217,46.77475
30_H2_CO2_C2,41.22639,33.95637,46.83248
30_H2_CO2_C2,41.36778,33.84854,46.66096
30_H2_CO2_C2,41.50944,33.73452,46.61928
30_H2_CO2_C2,41.65111,33.73787,46.63251
30_H2_CO2_C2,41.79278,33.74079,46.56012
30_H2_CO2_C2,41.93444,33.64762,46.61995
30_H2_CO2_C2,42.07583,33.77711,46.63214
30_H2_CO2_C2,42.2175,33.66206,46.49284
30_H2_CO2_C2,42.35917,33.67583,46.52296
30_H2_CO2_C2,42.50083,33.67409,46.52414
30_H2_CO2_C2,42.6425,33.62746,46.59193
30_H2_CO2_C2,42.78417,33.57573,46.43654
30_H2_CO2_C2,42.92583,33.60354,46.4435
30_H2_CO2_C2,43.0675,33.46543,46.30622
30_H2_CO2_C2,43.20917,33.46502,46.34802
30_H2_CO2_C2,43.35083,33.4504,46.38679
30_H2_CO2_C2,43.49222,33.36699,46.42658
30_H2_CO2_C2,43.63361,33.51691,46.15857
30_H2_CO2_C2,43.77528,33.43814,46.41989
30_H2_CO2_C2,43.91694,33.23097,46.29685
30_H2_CO2_C2,44.05833,33.39136,46.11994
30_H2_CO2_C2,44.2,33.26502,46.22531
30_H2_CO2_C2,44.34194,33.36,46.24628
30_H2_CO2_C2,44.48361,33.24108,46.19249
30_H2_CO2_C2,44.625,33.25054,46.10016
30_H2_CO2_C2,44.76667,33.20937,46.06335
30_H2_CO2_C2,44.90833,33.30418,46.12857
30_H2_CO2_C2,45.05,33.20874,45.99071
30_H2_CO2_C2,45.19139,33.14372,46.0079
30_H2_CO2_C2,45.33306,33.01939,46.07104
30_H2_CO2_C2,45.47472,33.05645,45.9344
30_H2_CO2_C2,45.61639,33.04105,45.9039
30_H2_CO2_C2,45.75806,33.10591,45.86619
30_H2_CO2_C2,45.89944,32.93362,45.90731
30_H2_CO2_C2,46.04083,32.96131,45.91755
30_H2_CO2_C2,46.18278,33.01797,45.94517
30_H2_CO2_C2,46.32444,32.91476,45.84797
30_H2_CO2_C2,46.46611,32.91391,45.61841
30_H2_CO2_C2,46.6075,32.91789,45.79007
