Tipo,T_REF [°C],TCDsignal_REF [a.u.]
REF,42.4,0.01137
REF,42.5,0.01101
REF,42.5,0.01137
REF,42.5,0.01137
REF,42.6,0.01137
REF,42.6,0.01211
REF,42.7,0.01174
REF,42.8,0.01101
REF,42.8,0.01101
REF,42.8,0.01064
REF,42.9,0.01137
REF,42.9,0.01101
REF,42.9,0.01101
REF,43,0.01064
REF,43,0.01101
REF,43.1,0.01064
REF,43.2,0.01101
REF,43.2,0.01101
REF,43.2,0.01027
REF,43.3,0.01064
REF,43.3,0.01101
REF,43.4,0.01064
REF,43.4,0.01101
REF,43.4,0.01064
REF,43.5,0.0099
REF,43.5,0.01027
REF,43.6,0.01064
REF,43.6,0.01174
REF,43.6,0.01101
REF,43.7,0.01137
REF,43.7,0.01137
REF,43.8,0.01137
REF,43.8,0.01247
REF,43.8,0.01101
REF,43.8,0.01101
REF,43.9,0.01064
REF,43.9,0.01101
REF,44,0.01137
REF,44,0.01064
REF,44,0.01064
REF,44.1,0.01064
REF,44.1,0.01064
REF,44.1,0.01101
REF,44.2,0.01064
REF,44.2,0.01064
REF,44.3,0.01064
REF,44.3,0.01101
REF,44.3,0.01101
REF,44.4,0.01027
REF,44.4,0.01064
REF,44.4,0.01027
REF,44.4,0.01027
REF,44.5,0.01101
REF,44.5,0.01064
REF,44.5,0.01064
REF,44.5,0.01027
REF,44.6,0.01064
REF,44.6,0.01101
REF,44.7,0.01064
REF,44.7,0.01064
REF,44.7,0.01027
REF,44.7,0.01027
REF,44.8,0.01101
REF,44.8,0.01027
REF,44.8,0.01064
REF,44.9,0.0099
REF,44.9,0.01027
REF,44.9,0.01064
REF,44.9,0.01027
REF,44.9,0.01027
REF,45,0.0099
REF,45,0.01027
REF,45,0.01064
REF,45.1,0.01027
REF,45,0.0099
REF,45.1,0.0099
REF,45.1,0.00954
REF,45.1,0.01027
REF,45.2,0.0099
REF,45.2,0.01027
REF,45.2,0.00954
REF,45.2,0.0099
REF,45.3,0.00954
REF,45.3,0.0099
REF,45.3,0.0099
REF,45.3,0.0099
REF,45.3,0.0099
REF,45.4,0.00954
REF,45.4,0.00954
REF,45.4,0.01027
REF,45.4,0.00954
REF,45.4,0.00954
REF,45.5,0.00917
REF,45.5,0.00954
REF,45.5,0.0099
REF,45.6,0.0099
REF,45.6,0.00954
REF,45.6,0.00917
REF,45.6,0.00917
REF,45.6,0.00917
REF,45.6,0.00917
REF,45.6,0.00917
REF,45.6,0.00917
REF,45.7,0.00954
REF,45.7,0.0099
REF,45.7,0.00917
REF,45.7,0.00917
REF,45.7,0.0088
REF,45.8,0.00917
REF,45.8,0.00954
REF,45.8,0.00917
REF,45.8,0.0088
REF,45.8,0.0088
REF,45.9,0.00844
REF,45.9,0.00917
REF,45.9,0.00917
REF,45.9,0.00917
REF,45.9,0.0088
REF,46,0.00917
REF,45.9,0.00954
REF,46,0.0088
REF,45.9,0.00917
REF,46,0.0088
REF,46,0.0088
REF,46,0.00954
REF,46,0.00844
REF,46,0.0088
REF,46,0.00844
REF,46.1,0.0088
REF,46,0.00917
REF,46.1,0.0088
REF,46.1,0.0088
REF,46.1,0.0088
REF,46.1,0.00844
REF,46.1,0.0088
REF,46.2,0.0088
REF,46.1,0.0088
REF,46.2,0.0088
REF,46.2,0.0088
REF,46.2,0.00844
REF,46.2,0.0088
REF,46.2,0.00954
REF,46.2,0.0088
REF,46.2,0.0088
REF,46.3,0.00844
REF,46.3,0.0088
REF,46.3,0.00917
REF,46.3,0.0088
REF,46.3,0.00917
REF,46.3,0.00844
REF,46.4,0.0088
REF,46.3,0.00917
REF,46.4,0.0088
REF,46.4,0.0088
REF,46.4,0.00844
REF,46.4,0.0088
REF,46.4,0.0099
REF,46.4,0.0088
