Tipo,T [°C],CO2 Concentration [a.u.]
REF,26.4,0.000189
REF,26.5,0.000182
REF,26.5,0.000182
REF,26.5,0.000184
REF,26.6,0.00018
REF,26.6,0.000186
REF,25.27494149,0.000179
REF,26.7,0.000179
REF,26.8,0.000181
REF,26.9,0.000175
REF,25.575162,0.000176
REF,27,0.000173
REF,25.87538242,0.000174
REF,27.2,0.000175
REF,27.3,0.000173
REF,27.4,0.000172
REF,27.5,0.000171
REF,27.6,0.000167
REF,27.7,0.000169
REF,27.8,0.000176
REF,27.9,0.000174
REF,28,0.000171
REF,28.2,0.000171
REF,28.4,0.000173
REF,28.5,0.000172
REF,28.7,0.000173
REF,28.8,0.000169
REF,29,0.000169
REF,29.2,0.000173
REF,28.57736765,0.000176
REF,29.6,0.000174
REF,29.7,0.000177
REF,29.37795589,0.000175
REF,30.2,0.000174
REF,30.4,0.000178
REF,30.6,0.000173
REF,30.8,0.000179
REF,31.1,0.000178
REF,31.2,0.00018
REF,31.5,0.000179
REF,31.8,0.000182
REF,32,0.000184
REF,32.3,0.000186
REF,32.5,0.000187
REF,32.8,0.000189
REF,33.1,0.000189
REF,33.3,0.000193
REF,33.7,0.000197
REF,33.9,0.000197
REF,34.2,0.000197
REF,34.5,0.000203
REF,34.8,0.000206
REF,35.08214767,0.000207
REF,35.4,0.000206
REF,35.8,0.000209
REF,36.1,0.000212
REF,36.4,0.000215
REF,36.7,0.000219
REF,37.1,0.00022
REF,37.5,0.000223
REF,37.7,0.000227
REF,38.1,0.000226
REF,38.5,0.000235
REF,38.8,0.000233
REF,39.2,0.000237
REF,39.6,0.000242
REF,40,0.000244
REF,40.3,0.000246
REF,40.8,0.000257
REF,41.1,0.000261
REF,41.5,0.000265
REF,41.9,0.000264
REF,42.2,0.000275
REF,42.7,0.000275
REF,43.38825265,0.000285
REF,43.5,0.00029
REF,44,0.000289
REF,44.3,0.000292
REF,44.8,0.000296
REF,45.1,0.000301
REF,45.6,0.000307
REF,46.1,0.000313
REF,46.5,0.000311
REF,46.9,0.000318
REF,47.3,0.000319
REF,47.7,0.00033
REF,48.1,0.000332
REF,48.6,0.000343
REF,49,0.000346
REF,49.5,0.000354
REF,49.9,0.00036
REF,50.4,0.00036
REF,50.9,0.000366
REF,51.3,0.000372
REF,51.8,0.000375
REF,52.2,0.000381
REF,52.7,0.000386
REF,53,0.000386
REF,53.6,0.000397
REF,54.1,0.000405
REF,54.5,0.000405
REF,55,0.000413
REF,55.4,0.000415
REF,55.9,0.000423
REF,56.3,0.000425
REF,56.8,0.000438
REF,57.2,0.000443
REF,57.7,0.000449
REF,58.2,0.000451
REF,58.7,0.000454
REF,59.60016901,0.000462
REF,59.6,0.000469
REF,60.1,0.000468
REF,60.5,0.00047
REF,61.60164008,0.000476
REF,61.5,0.000483
REF,62,0.000483
REF,62.5,0.000489
REF,62.9,0.000494
REF,63.5,0.000494
REF,64.40369939,0.000498
REF,64.5,0.000505
REF,64.8,0.000498
REF,65.4,0.0005
REF,65.9,0.000504
REF,66.3,0.000507
REF,66.9,0.000511
REF,67.3,0.000516
REF,67.9,0.000517
REF,68.2,0.000521
REF,68.8,0.000518
REF,69.2,0.00052
REF,69.8,0.000522
REF,70.2,0.000527
REF,70.7,0.000526
REF,71.3,0.00053
REF,71.7,0.000523
REF,72.3,0.000526
REF,72.7,0.000529
REF,73.3,0.000529
REF,73.7,0.000528
REF,74.61119979,0.000531
REF,74.7,0.000531
REF,75.2,0.000534
