TOS_REF[h],X_CH4_REF [%],X_CO2_REF [%],Coke_REF [w%],,TOS_REF_2[h],X_CH4_REF_2 [%],X_CO2_REF_2 [%],Coke_REF_2 [w%],,TOS_1Mn [h],X_CH4_1Mn [%],X_CO2_1Mn [%],Coke_1Mn [w%],,TOS_1Mn_2 [h],X_CH4_1Mn_2 [%],X_CO2_1Mn_2 [%],Coke_1Mn_2 [w%],,TOS_0.5Mn [h],X_CH4_0.5Mn [%],X_CO2_0.5Mn [%],Coke_0.5Mn [w%],,TOS_0.5Mn_2 [h],X_CH4_0.5Mn_2 [%],X_CO2_0.5Mn_2 [%],Coke_0.5Mn_2 [w%],,TOS_0.25Mn [h],X_CH4_0.25Mn [%],X_CO2_0.25 Mn [%],Coke_0.25Mn [w%],,TOS_0.25Mn_2 [h],X_CH4_0.25Mn_2 [%],X_CO2_0.25 Mn_2 [%],Coke_0.25Mn_2 [w%],,TOS_1Cr [h],X_CH4_1Cr [%],X_CO2_1Cr [%],Coke_1Cr [w%],,TOS_1Cr_2 [h],X_CH4_1Cr_2 [%],X_CO2_1Cr_2 [%],Coke_1Cr_2 [w%],,TOS-0.5Cr [h],X_CH4_0.5Cr [%],X_CO2_0.5Cr [%],Coke_0.5Cr [w%],,TOS-0.5Cr_2 [h],X_CH4_0.5Cr_2 [%],X_CO2_0.5Cr_2 [%],Coke_0.5Cr_2 [w%],,TOS_0.25Cr [h],X_CH4_0.25Cr [%],X_CO2_0.25Cr [%],Coke_0.25Cr [w%],,TOS_0.25Cr_2 [h],X_CH4_0.25Cr_2 [%],X_CO2_0.25Cr_2 [%],Coke_0.25Cr_2 [w%],,TOS_1Fe [h],X_CH4_1Fe [%],X_CO2_1Fe [%],Coke_1Fe [w%],,TOS_1Fe_2 [h],X_CH4_1Fe_2 [%],X_CO2_1Fe_2 [%],Coke_1Fe_2 [w%],,TOS_0.5Fe [h],X_CH4_0.5Fe [%],X_CO2_0.5Fe [%],Coke_0.5Fe [w%],,TOS_0.5Fe_2 [h],X_CH4_0.5Fe_2 [%],X_CO2_0.5Fe_2 [%],Coke_0.5Fe_2 [w%],,TOS_0.25Fe [h],X_CH4_0.25Fe [%],X_CO2_0.25Fe [%],Coke_0.25Fe [w%],,TOS_0.25Fe_2 [h],X_CH4_0.25Fe_2 [%],X_CO2_0.25Fe_2 [%],Coke_0.25Fe_2 [w%]
0.08333,40.69836,52.09569,18.3,,0.08333,42.3219,52.45611,21,,0.08333,41.01413,52.7536,14,,0.08333,35.18633,46.67797,14.2,,0.08333,45.81143,57.83993,22.7,,0.08333,42.96205,54.34326,23.7,,0.08333,42.35968,53.44222,21.8,,0.08333,43.29675,54.76412,21.4,,0.08333,42.1891,53.84369,11.7,,0.08333,42.53785,54.44835,12.4,,0.08333,43.3414,55.00266,17.6,,0.08333,44.62064,56.37733,17,,0.08333,41.55618,53.08621,15.7,,0.08333,45.08177,56.78846,15.6,,0.08333,21.559,34.14456,2.4,,0.08333,18.46382,30.96963,1.8,,0.08333,40.30645,52.85176,12.6,,0.08333,38.98606,51.79958,13.2,,0.08333,43.70213,55.86655,27.4,,0.08333,45.22322,57.11518,33.2
0.225,39.32079,50.98175,,,0.22472,39.84504,50.49326,,,0.22528,40.66813,52.26416,,,0.22528,34.94925,46.33398,,,0.22472,45.42341,57.54886,,,0.22472,42.24336,53.74161,,,0.22528,41.75573,52.82443,,,0.22528,42.77395,54.26831,,,0.22528,41.37361,52.99071,,,0.225,41.94307,53.68359,,,0.22472,43.12542,54.56402,,,0.225,44.51283,55.97126,,,0.225,40.70912,52.57289,,,0.225,44.66194,56.53057,,,0.22528,24.32169,36.64863,,,0.22528,20.90021,33.66985,,,0.22528,41.30907,54.20222,,,0.22528,39.73314,51.85983,,,0.225,43.86582,55.98917,,,0.22444,45.43762,57.43339,
0.36694,38.02835,49.99592,,,0.36611,38.39468,49.23672,,,0.36694,40.16719,52.10628,,,0.36639,34.83233,46.10722,,,0.36639,45.32335,57.1538,,,0.36667,41.96133,53.52986,,,0.36694,41.36988,52.27423,,,0.36667,42.10149,53.63455,,,0.36694,40.85851,52.67481,,,0.36694,41.48217,53.31563,,,0.36639,42.61657,54.29225,,,0.36694,44.05699,55.49859,,,0.36667,40.22504,52.00273,,,0.36639,44.22834,56.0555,,,0.36667,25.69691,38.6461,,,0.36667,22.84519,35.63219,,,0.36667,42.0451,54.42147,,,0.36639,39.64564,52.12372,,,0.36639,43.64945,55.95262,,,0.36611,45.29554,57.3545,
0.50806,37.15461,49.20534,,,0.50806,37.43349,48.23384,,,0.50806,40.25074,51.73738,,,0.50806,34.48789,46.03192,,,0.50833,45.31006,57.0527,,,0.50806,41.85808,53.17676,,,0.50833,40.38187,51.55393,,,0.50833,41.54614,53.08622,,,0.50861,40.52556,52.1705,,,0.50806,41.05232,52.99019,,,0.50833,42.1463,53.68002,,,0.50833,42.99857,54.45647,,,0.50861,39.57766,51.25674,,,0.50806,43.54532,55.30539,,,0.50806,27.19872,40.2955,,,0.50833,23.55782,36.53271,,,0.50833,42.11065,54.69811,,,0.50806,39.68104,52.18022,,,0.50806,43.74759,55.78705,,,0.50778,45.60026,57.44529,
0.65,36.45722,48.42216,,,0.64972,35.63914,46.75315,,,0.64972,39.88281,51.56414,,,0.64972,34.41209,45.72054,,,0.65,44.57415,56.71333,,,0.64972,41.65676,53.16907,,,0.65,40.08597,51.17916,,,0.65028,40.48728,53.06413,,,0.65,39.97027,51.57003,,,0.64972,40.74302,52.44602,,,0.64972,41.70683,53.19265,,,0.64972,42.64906,54.0617,,,0.65,38.73181,51.00925,,,0.64972,43.20704,55.08964,,,0.65,27.72342,40.89007,,,0.65028,24.22189,36.86505,,,0.65,42.36085,54.84089,,,0.64972,39.64875,52.19557,,,0.65,43.7067,55.77462,,,0.64944,45.50922,57.2962,
0.79139,36.26557,47.67721,,,0.79139,35.23096,46.02289,,,0.79139,39.93971,51.27906,,,0.79167,34.17356,45.70586,,,0.79167,44.33909,56.5788,,,0.79111,41.69165,52.91976,,,0.79139,39.82835,50.84775,,,0.79194,40.51736,52.36363,,,0.79167,39.49925,51.41838,,,0.79139,40.42604,52.03467,,,0.79111,41.41461,53.0337,,,0.79111,42.1605,53.74662,,,0.79167,38.83856,50.5677,,,0.79111,43.10245,54.80615,,,0.79139,28.02962,41.20933,,,0.79167,24.45197,37.46456,,,0.79194,42.48995,55.18738,,,0.79167,39.71549,52.16842,,,0.79139,43.53902,55.65783,,,0.79111,45.36211,57.1741,
0.93333,35.46515,47.19057,,,0.93278,33.98423,45.50607,,,0.93278,39.95215,51.19155,,,0.93306,34.20483,45.50649,,,0.93333,44.46754,56.36439,,,0.93306,41.37985,52.69462,,,0.93306,39.16377,50.11769,,,0.93306,40.31946,51.93781,,,0.93333,39.28535,51.14604,,,0.93306,39.55282,51.31922,,,0.9325,40.96524,52.38194,,,0.93278,42.11104,53.39247,,,0.93333,38.5755,50.13504,,,0.93278,42.82837,54.61357,,,0.93333,28.33164,41.46513,,,0.93333,24.81697,37.74219,,,0.93361,42.61748,54.88463,,,0.93278,39.71701,52.30697,,,0.93306,43.55763,55.59796,,,0.93278,45.30053,57.05142,
1.075,34.42932,46.38715,,,1.07472,34.19573,44.5795,,,1.07472,39.54604,51.24003,,,1.07444,33.95682,45.43429,,,1.07444,44.25075,56.18363,,,1.07472,41.19825,52.55275,,,1.075,38.88558,49.76925,,,1.07472,39.92492,51.67952,,,1.075,39.08763,50.86747,,,1.07444,39.33369,50.96814,,,1.07444,40.75524,52.13721,,,1.07472,41.76348,53.18284,,,1.07444,38.31325,49.91053,,,1.07444,42.33274,54.00506,,,1.075,28.55252,41.63264,,,1.075,25.12418,37.90108,,,1.075,42.66532,55.07883,,,1.07472,39.66291,51.95546,,,1.07472,43.49107,55.61847,,,1.07444,45.10478,56.99522,
1.21611,34.2875,45.98518,,,1.21639,33.20872,44.17046,,,1.21639,39.76168,51.06344,,,1.21611,33.84806,45.14529,,,1.21611,44.17951,56.14477,,,1.21611,40.89983,52.39805,,,1.21639,38.64968,49.50923,,,1.21639,39.72889,51.22345,,,1.21639,38.79334,50.56628,,,1.21611,39.09882,50.74339,,,1.21639,40.48146,51.91871,,,1.21611,41.41725,52.97778,,,1.21611,37.91832,49.73835,,,1.21639,42.29461,53.77106,,,1.21639,29.2247,42.50157,,,1.21667,25.34509,38.24207,,,1.21667,42.46418,55.12684,,,1.21639,39.6034,52.03541,,,1.21639,43.49528,55.38924,,,1.21583,45.06605,56.97255,
1.35833,33.54878,45.37464,,,1.35806,33.06688,43.7237,,,1.35806,39.44701,50.93295,,,1.3575,33.5691,44.96606,,,1.35806,43.99154,56.06874,,,1.35806,40.91256,52.25235,,,1.35778,38.34691,49.10439,,,1.35778,39.4356,51.26625,,,1.35806,38.53737,50.09568,,,1.35778,38.84263,50.61969,,,1.35806,40.12655,51.60896,,,1.35806,41.16586,52.39375,,,1.35778,37.42486,49.06673,,,1.35778,42.11298,53.60599,,,1.35778,29.364,42.57507,,,1.35778,25.43639,38.44214,,,1.35778,42.57142,55.01191,,,1.35778,39.61565,51.93155,,,1.35806,43.25118,55.29666,,,1.35778,44.96972,56.87635,
