T_REF [°C],TCDsignal_REF [a.u.],,T_1Mn [°C],TCDsignal_1Mn [a.u.],,T_1Cr [°C],TCDsignal_1Cr [a.u.],,T_1Fe [°C],TCDsignal_1Fe [a.u.]
200.09854,5.05E-04,,200.00166,5.15E-04,,199.93178,1.74E-04,,199.94656,0.00243
200.09521,5.44E-04,,199.99168,4.86E-04,,199.91809,2.50E-04,,199.93658,0.00253
200.08708,4.10E-04,,199.98317,4.96E-04,,199.91957,2.67E-04,,199.94547,0.00254
200.09189,4.86E-04,,199.97578,5.05E-04,,199.91588,3.08E-04,,199.95175,0.00251
200.0941,4.86E-04,,199.96542,4.96E-04,,199.89923,2.77E-04,,199.94843,0.00253
200.10373,4.70E-04,,199.96579,5.44E-04,,199.9059,2.38E-04,,199.94879,0.0024
200.10594,4.41E-04,,199.98317,5.17E-04,,199.90627,2.96E-04,,199.93658,0.00242
200.11111,4.51E-04,,199.97282,5.27E-04,,199.91588,2.12E-04,,199.94843,0.00248
200.1041,5.05E-04,,199.9621,5.27E-04,,199.89406,1.43E-04,,199.94508,0.00245
200.10039,5.27E-04,,199.95877,5.91E-04,,199.89554,2.03E-04,,199.95175,0.00247
200.10223,5.75E-04,,199.96246,5.27E-04,,199.92438,2.19E-04,,199.95914,0.00253
200.10262,5.84E-04,,199.95396,5.27E-04,,199.91957,1.74E-04,,199.94508,0.00257
200.10556,5.91E-04,,199.96432,4.67E-04,,199.92513,2.12E-04,,199.94547,0.00256
200.09854,5.94E-04,,199.9621,4.39E-04,,199.92957,2.77E-04,,199.95064,0.00254
200.0941,5.44E-04,,199.96765,4.79E-04,,199.9229,2.79E-04,,199.93695,0.00256
200.11111,5.94E-04,,199.97282,4.48E-04,,199.92142,3.27E-04,,199.97098,0.00265
200.09927,5.46E-04,,199.978,4.51E-04,,199.92993,3.15E-04,,199.98132,0.00262
200.10594,5.91E-04,,199.97578,4.03E-04,,199.93806,2.98E-04,,199.98946,0.00267
200.1174,6.48E-04,,199.97615,3.91E-04,,199.94028,1.81E-04,,199.98096,0.00269
200.11111,5.05E-04,,199.978,3.84E-04,,199.95877,8.82E-05,,199.97282,0.00258
200.11629,4.60E-04,,199.97615,3.81E-04,,199.96432,1.55E-04,,199.95729,0.00264
200.11111,4.96E-04,,199.98651,3.74E-04,,199.9743,1.26E-04,,199.95396,0.00256
200.10779,4.22E-04,,199.99797,3.91E-04,,199.96727,2.29E-04,,199.9621,0.00252
200.10779,5.46E-04,,199.99686,4.51E-04,,199.97282,1.36E-04,,199.9621,0.00245
200.09225,4.77E-04,,199.99612,4.86E-04,,199.96727,1.93E-04,,199.96246,0.00254
200.11296,4.79E-04,,200.00462,5.15E-04,,199.96727,1.43E-04,,199.97763,0.00257
200.09854,5.65E-04,,199.99797,5.72E-04,,199.95692,1.55E-04,,199.96765,0.00249
200.10556,5.84E-04,,199.99686,5.56E-04,,199.96765,2.03E-04,,199.97282,0.0025
200.09558,5.75E-04,,199.99463,5.46E-04,,199.95914,2.38E-04,,199.97763,0.0025
200.1174,4.39E-04,,200.01016,5.27E-04,,199.96394,1.74E-04,,199.95729,0.00247
200.12146,4.77E-04,,200.01831,5.72E-04,,199.96727,1.26E-04,,199.96765,0.00246
200.12257,4.48E-04,,200.03568,5.27E-04,,199.97578,1.43E-04,,199.978,0.00247
200.10927,5.25E-04,,200.04604,5.72E-04,,199.97061,1.84E-04,,199.97615,0.00247
200.09189,5.08E-04,,200.0549,5.27E-04,,199.97282,2.19E-04,,199.98317,0.00249
200.09373,5.05E-04,,200.07007,5.36E-04,,199.96875,1.45E-04,,199.98651,0.00258
200.09004,5.72E-04,,200.07635,5.08E-04,,199.96432,2.19E-04,,199.98761,0.0026
200.09706,5.63E-04,,200.07303,4.79E-04,,199.978,2.67E-04,,200.00018,0.00252
200.08191,5.27E-04,,200.08524,4.60E-04,,199.98244,2.69E-04,,199.98946,0.00256
200.0856,5.53E-04,,200.08376,5.56E-04,,199.98132,2.29E-04,,199.98613,0.00252
200.08043,5.75E-04,,200.08043,5.15E-04,,199.99612,2.00E-04,,199.98317,0.00246
200.05824,5.72E-04,,200.08672,5.44E-04,,199.98984,2.60E-04,,199.98244,0.00248
200.05602,5.46E-04,,200.08376,5.44E-04,,199.99463,2.41E-04,,199.98984,0.00246
200.06268,5.27E-04,,200.08154,5.72E-04,,199.99834,2.22E-04,,199.9695,0.00252
200.05307,5.56E-04,,200.07526,5.56E-04,,200.00684,2.67E-04,,199.99094,0.00249
200.05602,4.60E-04,,200.07858,5.27E-04,,199.98428,2.48E-04,,199.98096,0.0024
200.05786,5.27E-04,,200.08672,4.39E-04,,199.99612,2.79E-04,,199.97098,0.00249
200.05602,4.79E-04,,200.09004,4.77E-04,,199.99982,3.91E-04,,199.97098,0.00244
200.04567,4.20E-04,,200.09225,4.48E-04,,200.01349,3.46E-04,,199.97763,0.00246
200.03383,4.32E-04,,200.09521,4.20E-04,,200.02754,4.03E-04,,199.97061,0.0025
200.04788,3.84E-04,,200.08856,4.67E-04,,200.022,4.01E-04,,199.9536,0.00251
200.03235,3.84E-04,,200.08856,4.39E-04,,200.03606,3.34E-04,,199.95692,0.00257
200.02681,4.01E-04,,200.0941,4.58E-04,,200.02681,3.24E-04,,199.96765,0.00251
200.03235,3.27E-04,,200.09189,4.67E-04,,200.02385,3.55E-04,,199.98428,0.00253
200.02385,4.58E-04,,200.09706,5.56E-04,,200.03606,2.60E-04,,199.96765,0.00252
200.04271,3.34E-04,,200.09927,5.65E-04,,200.04123,1.43E-04,,199.96727,0.00253
200.02385,3.65E-04,,200.10556,5.53E-04,,200.02681,1.72E-04,,199.97763,0.00257
200.03754,3.36E-04,,200.10373,5.72E-04,,200.01387,1.74E-04,,199.98984,0.0026
200.0305,3.05E-04,,200.10742,5.65E-04,,200.01682,2.50E-04,,199.978,0.0026
200.01498,3.62E-04,,200.10556,5.82E-04,,200.01535,2.12E-04,,199.978,0.00257
200.01682,3.93E-04,,200.09521,4.51E-04,,200.00647,2.86E-04,,199.98096,0.00252
200.0172,3.93E-04,,200.08708,4.67E-04,,200.0098,3.65E-04,,199.97948,0.00259
200.01498,5.17E-04,,200.08337,5.27E-04,,200.00166,3.24E-04,,199.97061,0.00251
199.99463,4.86E-04,,200.08893,4.89E-04,,200.00536,4.51E-04,,199.97394,0.00248
200.00314,4.67E-04,,200.06822,4.51E-04,,200.00536,4.20E-04,,199.98096,0.00248
199.98946,5.75E-04,,200.0697,4.60E-04,,200.0087,4.32E-04,,199.98317,0.0024
199.99612,5.82E-04,,200.06268,3.46E-04,,200.00684,3.36E-04,,199.98096,0.00245
199.98761,5.65E-04,,200.05824,3.53E-04,,200.0087,4.60E-04,,199.98244,0.00252
199.98096,4.89E-04,,200.03754,3.65E-04,,200.0172,4.01E-04,,199.98651,0.00239
199.97061,6.51E-04,,200.03383,3.74E-04,,199.99094,3.93E-04,,199.96875,0.00244
199.96765,5.44E-04,,200.02385,3.34E-04,,200.01202,3.72E-04,,199.98651,0.0024
199.95396,6.79E-04,,200.0305,4.03E-04,,200.00684,3.62E-04,,199.98317,0.00235
199.9536,5.94E-04,,200.02681,3.93E-04,,200.02385,3.43E-04,,199.97282,0.00237
199.95064,6.96E-04,,200.02754,3.84E-04,,200.01535,2.88E-04,,199.95692,0.0024
199.94843,5.63E-04,,200.02016,4.20E-04,,200.00647,3.24E-04,,199.94547,0.00233
199.96098,6.39E-04,,200.0305,4.01E-04,,200.00684,3.72E-04,,199.9621,0.00232
