TOS_30H2_CO2 [h],X_CH4_30H2_CO2 [%],X_CO2_30H2_CO2 [%],,TOS_4CO2 [h],X_CH4_4CO2 [%],X_CO2_4CO2 [%],,TOS_30CO2 [h],X_CH4_30CO2 [%],X_CO2_30CO2 [%],,TOS_60CO2 [h],X_CH4_60CO2 [%],X_CO2_60CO2 [%]
0.08333,41.2781,53.47585,,0.08333,39.98295,51.51814,,0.08333,40.33378,51.71986,,0.08333,42.85682,54.73819
0.22472,40.29918,52.13512,,0.225,38.61476,49.88088,,0.225,38.84397,50.50717,,0.225,42.22754,53.49448
0.36667,39.20438,51.03392,,0.36639,37.56652,49.09059,,0.36611,37.89695,49.37541,,0.36667,40.97321,52.28593
0.50806,38.43995,50.06003,,0.50806,36.08002,47.62005,,0.50778,36.61981,48.13339,,0.50778,39.84431,51.13798
0.64972,36.70902,48.50942,,0.64972,35.47646,47.06514,,0.64917,35.89614,47.31631,,0.64944,38.98594,50.42324
0.79139,35.9456,47.75898,,0.79139,34.55597,45.83178,,0.79083,35.35588,46.68797,,0.79139,38.4209,49.81095
0.93333,35.42601,47.07281,,0.93278,34.02485,45.38564,,0.9325,34.31781,45.41445,,0.93278,37.91342,49.19397
1.07472,34.67051,46.21313,,1.07472,33.52042,44.75684,,1.07417,33.79621,45.12669,,1.07417,37.36885,48.58382
1.21639,34.02727,45.65794,,1.21611,32.85469,44.22762,,1.21583,33.36898,44.56417,,1.21611,36.87623,48.1964
1.35806,33.55408,45.03147,,1.35778,32.62408,43.59783,,1.35722,32.9,44.25317,,1.35722,36.55268,47.85671
1.49917,33.1598,44.71624,,1.49917,32.1466,43.38571,,1.49917,32.25667,43.80031,,1.49889,35.74721,46.91224
1.64083,32.70033,44.31259,,1.64083,31.81085,42.99084,,1.64083,31.86234,43.20665,,1.64056,35.16496,46.43649
1.7825,32.18984,43.46108,,1.78278,31.15561,42.35944,,1.7825,31.69684,42.97173,,1.78222,34.77924,45.93667
1.92417,31.77549,43.18119,,1.92444,30.85657,41.98222,,1.92389,31.17532,42.47539,,1.92389,34.21722,45.48654
2.06556,31.48783,42.95065,,2.06611,30.56742,41.72164,,2.06556,30.72245,42.0974,,2.06556,34.07504,45.21087
2.2075,31.18436,42.6059,,2.2075,30.57642,41.33673,,2.20722,30.72037,41.86804,,2.20722,33.7395,45.01032
2.34889,30.88304,42.24955,,2.34944,30.02242,41.06924,,2.34889,30.42081,41.43232,,2.34889,33.49732,44.72939
2.49056,30.67237,42.1134,,2.49083,29.57922,40.9783,,2.49083,29.99324,41.29769,,2.49056,33.15465,44.58613
2.63222,30.33408,41.80922,,2.6325,29.42945,40.7874,,2.63222,29.90225,41.00929,,2.63194,32.95619,44.25547
