T_REF [°C],TCDsignal_REF [a.u.],,T_1Mn [°C],TCDsignal_1Mn [a.u.],,T_0.5Mn [°C],TCDsignal_0.5Mn [a.u.],,T_0.25Mn [°C],TCDsignal_0.25Mn [a.u.],,T_1Cr [°C],TCDsignal_1Cr [a.u.],,T_0.5Cr [°C],TCDsignal_0.5Cr [a.u.],,T_0.25Cr [°C],TCDsignal_0.25Cr [a.u.],,T_1Fe [°C],TCDsignal_1Fe [a.u.],,T_0.5Fe [°C],TCDsignal_0.5Fe [a.u.],,T_0.25Fe [°C],TCDsignal_0.25Fe [a.u.]
42.4,0.01137,,23.7,0.01101,,36.7,3.49E-04,,23.6,0.01906,,29,0.00536,,23.6,0.01212,,30.6,0.00245,,36.5,0.00325,,23.7,0.01607,,23.6,0.0055
42.5,0.01101,,23.7,0.01068,,36.7,0,,23.6,0.01906,,29.1,0.00497,,23.6,0.01212,,30.7,0.00275,,36.6,0.00271,,23.7,0.01607,,23.6,0.00485
42.5,0.01137,,23.7,0.01101,,36.8,0,,23.7,0.01943,,29.1,0.00459,,23.7,0.01212,,30.7,0.00245,,36.7,0.00271,,23.7,0.01607,,23.6,0.00518
42.5,0.01137,,23.7,0.01101,,37,3.49E-04,,23.6,0.01906,,29.1,0.00459,,23.6,0.01243,,30.8,0.00275,,36.8,0.00271,,23.7,0.01637,,23.6,0.0055
42.6,0.01137,,23.7,0.01068,,37,0,,23.6,0.0187,,29.2,0.00459,,23.6,0.01243,,30.8,0.00306,,36.8,0.00271,,23.7,0.01607,,23.6,0.00518
42.6,0.01211,,23.7,0.01068,,37.1,0,,23.6,0.0187,,29.2,0.00497,,23.6,0.01212,,30.8,0.00245,,36.9,0.00325,,23.7,0.01607,,23.6,0.00518
42.7,0.01174,,23.7,0.01068,,37.1,0,,23.7,0.01906,,29.3,0.00497,,23.7,0.01212,,30.8,0.00245,,36.9,0.00298,,23.7,0.01607,,23.6,0.00485
42.8,0.01101,,23.7,0.01068,,37.2,0,,23.7,0.01943,,29.3,0.00536,,23.7,0.01212,,30.9,0.00245,,37,0.00244,,23.6,0.01637,,23.6,0.00518
42.8,0.01101,,23.7,0.01068,,37.3,3.49E-04,,23.7,0.0187,,29.3,0.00497,,23.6,0.01212,,30.9,0.00214,,37.1,0.00244,,23.7,0.01637,,23.6,0.00583
42.8,0.01064,,23.7,0.01068,,37.4,3.49E-04,,23.7,0.01906,,29.4,0.00497,,23.6,0.01243,,31,0.00245,,37.1,0.00271,,23.7,0.01607,,23.6,0.00518
42.9,0.01137,,23.7,0.01068,,37.5,3.49E-04,,23.6,0.0187,,29.4,0.00536,,23.6,0.01212,,31,0.00245,,37.2,0.00298,,23.7,0.01607,,23.6,0.00518
42.9,0.01101,,23.7,0.01036,,37.5,0,,23.6,0.0187,,29.4,0.00497,,23.6,0.01274,,31.1,0.00245,,37.3,0.00244,,23.7,0.01607,,23.6,0.00518
42.9,0.01101,,23.7,0.01036,,37.6,0,,23.7,0.0187,,29.5,0.00497,,23.7,0.01243,,31.1,0.00245,,37.4,0.00271,,23.7,0.01637,,23.6,0.0055
43,0.01064,,23.7,0.01101,,37.7,3.49E-04,,23.6,0.0187,,29.5,0.00497,,23.6,0.01243,,31.1,0.00214,,37.5,0.00271,,23.7,0.01637,,23.6,0.00583
